Timestamp,How much time do you read every day?,How much time do you sleep every day?,Are you in a relationship?,Do you attend your class almost regularly?,Do you study in a group?,What is your study materials?,Are you addicted to drug?,Do you like to think at the time of reading?,How much time do you pass by gathering with your friends?,Do you play online games?,Where do you live?,What's your cgpa?
11/4/2019 18:36,read before exam only,below 6 hours,No,Yes,No,Book,No,No,no gathering,No,With parents,3.3
11/4/2019 18:36,3 hours or greater than 3,above 8 hours,No,Yes,No,Both,No,Yes,no gathering,No,Hall,3.88
11/4/2019 18:37,3 hours or greater than 3,above 8 hours,Yes,Yes,No,Both,No,Yes,above 2 hours,No,House rent,3.37
11/4/2019 18:38,read before exam only,7 hours,Yes,Yes,No,Both,No,Yes,no gathering,No,With parents,3.4
11/4/2019 18:38,read before exam only,above 8 hours,No,Yes,No,Both,No,No,no gathering,No,With parents,3.5
11/4/2019 18:38,read before exam only,above 8 hours,No,Yes,No,Both,No,Yes,above 2 hours,No,Hall,3.35
11/4/2019 18:39,read before exam only,above 8 hours,No,Yes,Yes,Both,No,No,above 2 hours,No,Hall,3.43
11/4/2019 18:39,read before exam only,7 hours,No,Yes,Yes,Slide,No,Yes,above 2 hours,Yes,House rent,3.96
11/4/2019 18:43,read before exam only,above 8 hours,No,Yes,Yes,Slide,No,Yes,above 2 hours,No,Hall,3.12
11/4/2019 18:43,read before exam only,below 6 hours,Yes,Yes,No,Slide,No,Yes,above 2 hours,Yes,With parents,2.83
11/4/2019 18:45,3 hours or greater than 3,above 8 hours,No,Yes,No,Both,No,Yes,no gathering,No,With parents,3.58
11/4/2019 18:49,1 or 2 hours a day,7 hours,No,Yes,Yes,Both,No,Yes,above 2 hours,Yes,With parents,3.59
11/4/2019 18:49,read before exam only,above 8 hours,No,Yes,No,Both,No,No,no gathering,Yes,Hall,3.02
11/4/2019 18:50,read before exam only,7 hours,No,Yes,Yes,Slide,No,No,above 2 hours,Yes,With parents,3.89
11/4/2019 18:56,read before exam only,below 6 hours,Yes,No,No,Slide,No,Yes,no gathering,No,House rent,3.45
11/4/2019 19:00,read before exam only,7 hours,No,Yes,No,Both,No,Yes,1 hours,No,With parents,3.219
11/4/2019 19:00,read before exam only,7 hours,No,Yes,No,Both,No,Yes,1 hours,No,With parents,3.219
11/4/2019 19:00,read before exam only,7 hours,Yes,No,No,Slide,No,Yes,above 2 hours,Yes,With parents,3.3
11/4/2019 19:00,1 or 2 hours a day,7 hours,Yes,Yes,Yes,Both,No,Yes,1 hours,No,With parents,3.75
11/4/2019 19:02,read before exam only,below 6 hours,Yes,Yes,Yes,Slide,No,No,above 2 hours,No,Hall,2.92
11/4/2019 19:02,1 or 2 hours a day,7 hours,No,Yes,No,Both,No,Yes,1 hours,Yes,Hall,3.74
11/4/2019 19:03,read before exam only,7 hours,No,Yes,Yes,Slide,No,Yes,above 2 hours,No,House rent,3.54
11/4/2019 19:05,3 hours or greater than 3,7 hours,No,Yes,No,Both,No,Yes,1 hours,No,Hall,3.65
11/4/2019 19:07,1 or 2 hours a day,7 hours,Yes,Yes,No,Both,No,Yes,1 hours,No,With parents,3.39
11/4/2019 19:08,read before exam only,7 hours,Yes,Yes,No,Slide,No,Yes,no gathering,Yes,With parents,2.5
11/4/2019 19:11,1 or 2 hours a day,7 hours,Yes,Yes,No,Both,No,Yes,1 hours,Yes,With parents,3.82
11/4/2019 19:13,read before exam only,7 hours,No,Yes,No,Both,No,Yes,above 2 hours,No,House rent,3.71
11/4/2019 19:13,1 or 2 hours a day,below 6 hours,No,Yes,No,Both,No,Yes,1 hours,No,House rent,3.968
11/4/2019 19:14,read before exam only,below 6 hours,Yes,Yes,Yes,Both,No,Yes,above 2 hours,No,House rent,3.2
11/4/2019 19:23,read before exam only,7 hours,Yes,Yes,Yes,Slide,No,Yes,above 2 hours,No,With parents,2.74
11/4/2019 19:24,read before exam only,7 hours,No,Yes,No,Both,No,Yes,no gathering,Yes,Hall,3.38
11/4/2019 19:24,read before exam only,7 hours,No,Yes,No,Slide,No,Yes,above 2 hours,No,House rent,2.95
11/4/2019 19:26,1 or 2 hours a day,7 hours,No,Yes,Yes,Both,No,Yes,above 2 hours,No,With parents,3.79
11/4/2019 19:27,1 or 2 hours a day,above 8 hours,No,Yes,No,Both,No,Yes,1 hours,No,With parents,3.65
11/4/2019 19:28,read before exam only,7 hours,No,No,Yes,Both,No,Yes,1 hours,No,With parents,3.88
11/4/2019 19:28,1 or 2 hours a day,above 8 hours,No,Yes,No,Both,No,Yes,1 hours,No,Hall,3.33
11/4/2019 19:30,read before exam only,7 hours,No,Yes,No,Both,No,Yes,no gathering,No,Hall,3.46
11/4/2019 19:36,read before exam only,7 hours,Yes,Yes,Yes,Both,No,Yes,no gathering,No,With parents,3.61
11/4/2019 19:37,1 or 2 hours a day,below 6 hours,No,Yes,No,Both,No,Yes,1 hours,Yes,With parents,3
11/4/2019 19:45,3 hours or greater than 3,7 hours,No,Yes,Yes,Both,No,Yes,above 2 hours,No,With parents,3.847
11/4/2019 19:46,read before exam only,7 hours,No,Yes,No,Both,No,Yes,above 2 hours,No,With parents,3.56
11/4/2019 19:46,read before exam only,above 8 hours,Yes,No,No,Slide,Yes,Yes,above 2 hours,Yes,With parents,3.5
11/4/2019 19:47,1 or 2 hours a day,7 hours,Yes,Yes,No,Both,No,Yes,1 hours,Yes,With parents,3.42
11/4/2019 19:48,3 hours or greater than 3,above 8 hours,No,Yes,No,Book,No,Yes,1 hours,No,With parents,3.16
11/4/2019 19:49,read before exam only,above 8 hours,No,Yes,No,Both,No,Yes,1 hours,No,With parents,3
11/4/2019 19:49,1 or 2 hours a day,7 hours,No,Yes,No,Both,No,Yes,above 2 hours,No,Hall,3.6
11/4/2019 20:11,read before exam only,above 8 hours,No,Yes,No,Slide,No,Yes,above 2 hours,No,Hall,3.33
11/4/2019 20:11,read before exam only,above 8 hours,No,Yes,No,Slide,No,Yes,above 2 hours,Yes,House rent,3.6
11/4/2019 20:16,read before exam only,7 hours,Yes,Yes,Yes,Both,No,No,above 2 hours,No,With parents,3.12
11/4/2019 20:16,read before exam only,7 hours,No,Yes,Yes,Both,No,No,no gathering,Yes,With parents,3.54
11/4/2019 20:16,3 hours or greater than 3,above 8 hours,No,Yes,No,Both,No,Yes,above 2 hours,No,With parents,3.9
11/4/2019 20:21,read before exam only,below 6 hours,No,No,No,Both,No,Yes,above 2 hours,No,Hall,3.7
11/4/2019 20:40,read before exam only,7 hours,No,Yes,No,Both,No,No,no gathering,No,House rent,3.5
11/4/2019 20:41,read before exam only,7 hours,No,Yes,Yes,Slide,No,No,above 2 hours,Yes,With parents,3.41
11/4/2019 20:48,1 or 2 hours a day,below 6 hours,No,Yes,Yes,Both,No,Yes,1 hours,No,With parents,3.55
11/4/2019 20:49,read before exam only,above 8 hours,No,Yes,Yes,Slide,No,No,1 hours,No,With parents,3.6
11/4/2019 20:53,1 or 2 hours a day,above 8 hours,Yes,Yes,No,Book,No,Yes,above 2 hours,No,Hall,3.74
11/4/2019 20:54,read before exam only,above 8 hours,No,Yes,No,Both,No,Yes,1 hours,No,House rent,3.2
11/4/2019 20:55,1 or 2 hours a day,7 hours,Yes,Yes,No,Book,No,Yes,1 hours,No,With parents,3.61
11/4/2019 21:01,read before exam only,below 6 hours,Yes,Yes,No,Both,No,Yes,no gathering,Yes,With parents,3.35
11/4/2019 21:36,read before exam only,7 hours,Yes,Yes,No,Slide,No,No,above 2 hours,No,House rent,3.67
11/4/2019 21:41,1 or 2 hours a day,7 hours,Yes,Yes,No,Book,No,Yes,no gathering,No,House rent,3.8
11/4/2019 21:41,read before exam only,below 6 hours,Yes,Yes,Yes,Slide,No,Yes,above 2 hours,No,With parents,3.92
11/4/2019 21:48,read before exam only,above 8 hours,No,Yes,No,Both,No,Yes,above 2 hours,Yes,With parents,2.5
11/4/2019 21:50,read before exam only,below 6 hours,Yes,Yes,Yes,Both,No,Yes,above 2 hours,No,With parents,3.88
11/4/2019 21:55,read before exam only,7 hours,No,Yes,No,Both,No,Yes,1 hours,No,Hall,3.97
11/4/2019 22:00,read before exam only,7 hours,No,Yes,Yes,Both,No,Yes,no gathering,No,Hall,3.68
11/4/2019 22:02,read before exam only,above 8 hours,Yes,No,No,Both,No,Yes,above 2 hours,Yes,With parents,3.5
11/4/2019 22:09,read before exam only,below 6 hours,Yes,No,Yes,Slide,No,Yes,no gathering,No,With parents,3.49
11/4/2019 22:29,read before exam only,below 6 hours,No,Yes,Yes,Both,No,Yes,1 hours,No,With parents,3.4
11/4/2019 22:33,read before exam only,7 hours,Yes,Yes,No,Book,No,Yes,no gathering,No,Hall,3.62
